sat_id,altitude,velocity,inclination,eccentricity,raan,perigee,anomaly
43317,1370.406928772688,7.172921109647508,1.4409455757757705,0.0020869,0.08535358173953068,0.32154026276566333,5.964873903530112
43316,1382.7051854158444,7.167727380847779,1.441736209926924,0.0007769,2.7096393716844647,2.281656713827423,4.0046213167866975
43315,1393.376937025288,7.170629257672447,1.4409717557145503,0.001986,1.834135094994305,6.129132075423055,0.1553500113907633
43314,1340.0210890271644,7.19874994149664,1.4409298678125027,0.0038581,6.126407616460692,4.99060668045735,1.2870825849077063
43313,1521.5627547516099,7.097167669025882,1.2850021524393291,0.0025848,2.5065912571659483,1.271781283355472,1.7530715325561765
43312,836.020295006943,7.441447763816334,1.2396462811677524,0.0020849,5.4430745623906205,4.215996397166478,2.065487213992413
43311,839.7468882983294,7.437334948675342,1.440488299511748,0.0035158,2.756969210340047,5.9059725319338074,0.37665252455588827
43310,906.1612011367262,7.407116057687551,1.4406471244736796,0.0018648,0.9737698042359444,0.13827021933074676,6.147456287239743
43309,931.11439867045,7.383426405891524,1.4403870704151323,0.0027371,0.7132218175104749,4.795346225061232,1.4844217274429492
43302,819.2114804173087,7.432996356115939,1.4182545501705923,0.0034669,3.1443973976977477,6.042975642227607,0.24061632666769425
43301,830.8131076775389,7.436816428504904,1.418333089986932,0.0041082,3.290317395139986,6.181064347316147,0.10333221836432427
43300,820.7762714052103,7.433579368226607,1.4182021902930324,0.0028853,3.146336458496714,5.890285512616883,0.392746205588528
43299,735.1376250620598,7.498727558677614,1.4172876377649872,0.0029875,1.5338337438961607,1.2291289270952348,5.0617480460978905
43298,750.56785669095,7.481138357465938,1.417392357520107,0.0010782,4.542006448146499,5.718049440713074,0.566048673665305
43297,773.555033068942,7.4797679299859645,1.4170834342425038,0.0038494,3.880730865163132,1.7820335261637703,4.510747601243281
43294,1000.9099934787936,7.341486290131741,1.4476406587864208,0.0030492,2.5089823582411803,0.6969117156505878,5.592192003022511
43288,4197.7827044932765,5.965651873175669,1.5191153823140924,0.0832352,2.5794936600217513,0.29078058002851526,6.038739728133017
43285,38084.29670349694,2.986016356034821,0.01534668011278614,0.0365983,4.1662196068996,6.0120414265652595,2.336566517424417
43284,36885.218948027905,3.027477327308556,0.0031520646291017594,0.0143002,0.2655658083249532,1.7249542783065477,4.318550198684413
43283,39379.2678531616,2.9026948284237237,0.0032969269570172887,0.0330278,2.6512615988637585,1.3211357039433675,2.261108952543694
43282,38180.20712251653,3.0005860700614835,0.018891443823586623,0.0287821,0.6274964806402693,4.38245019325843,1.8658093302594982
