sat1,sat2,altitude,velocity,inclination,eccentricity,raan,perigee,anomaly
61831.0,61393.0,-0.3617685629670769,-0.4370257034435844,-0.708774341852415,-0.4194185956108034,-1.0020473899428728,-1.2632108246179954,-1.2458337624205824
36199.0,49944.0,-0.2858587271426285,-0.1597617311924817,0.0119504724546131,-0.3645222757026339,0.5533067946355066,0.4074569068490328,0.386317839503528
38302.0,48078.0,-0.3369188482547051,-0.370253627453398,0.4946317711829854,-0.4110277101029804,0.5648518172149104,-0.3773075576970308,-0.3981449877927684
29988.0,26023.0,-0.2890021382719056,-0.2565348217735423,0.0233484208131401,-0.3521280215154019,-0.2574274452769667,-0.2582586168339777,0.3945430169987467
48819.0,41713.0,-0.362151554751395,-0.4132895050281536,0.7606429798231927,-0.3780171490650404,1.0625445485317777,-1.1182103889328774,-1.1141840957219733
41523.0,32223.0,-0.3608465369461113,-0.4236627750318246,-0.7042524285283577,-0.3980051412798235,-0.98701756145594,-0.6278958835263431,-0.981920235973277
31952.0,31036.0,-0.3595107828154971,-0.4250335844093355,-0.7078745038241092,-0.4089488221366678,-0.9290683058429472,-0.9241550625004444,-0.2574435965687698
37714.0,31952.0,-0.3594992373362303,-0.3907740423490413,-0.706670175149863,-0.3858961932282921,-0.9463127981802328,0.1094112655225554,0.0882327461791547
44614.0,21115.0,-0.2809081692073718,-0.1904747146751791,0.4121420739518779,-0.3960683721002082,-0.8630454519033941,1.6510588653024083,-1.0535488669474693
31608.0,30639.0,-0.3608479054321157,-0.389626872595203,-0.6795250612960052,-0.3710186002419285,-0.9880111493162952,1.0822822506550511,1.0282149165301728
39715.0,57556.0,-0.2809132770472942,-0.1899698999746089,-0.1882407656606573,-0.4074437521286743,-0.8286189149506886,-0.0112864549255889,-0.0451745580776812
35236.0,22444.0,-0.3579638229202441,-0.4267829904302122,0.5397281992378733,-0.4144262725171964,-0.8047415824412518,0.5386617568270121,-0.9143295976049745
54321.0,13561.0,-0.3444647304198226,-0.3357553932935782,-0.6913729286686838,-0.4163406018883859,1.021392614962015,-0.328001196771451,0.3288069367231702
4724.0,42492.0,-0.3543091176925458,-0.4163432404305693,0.9526402383170838,-0.1643196477383929,0.2759530439466574,0.723779082127016,-1.1760183077378694
34015.0,38176.0,-0.353828796327336,-0.3970422930895881,0.3932227521749455,-0.3760825170100371,-0.4330092515355304,-1.1435235363793472,-0.5145835755488081
38170.0,31036.0,-0.361569044357138,-0.4159320781035618,-0.7025754576574265,-0.4093538072506398,-0.1078807633457807,0.8768390801318028,1.494876400197455
38064.0,37093.0,-0.3353228558780414,-0.3607210563103535,-0.7083562352938091,-0.407102346471909,0.2710453220909676,-0.9572239598792678,-0.947829254709164
37985.0,19162.0,-0.3409177735024408,-0.3611240158743183,-0.3010659115732507,-0.4181261695017029,-0.5193934082160615,-0.8562228402716514,-0.5744260161310017
61277.0,31727.0,-0.360810715792745,-0.4381583977178026,-0.2353868247800175,-0.3927782687600506,0.8342847434681838,-0.9228226119178756,-0.7873636974106605
61104.0,61099.0,-0.3614134562662474,-0.4392231047337133,-0.7089788504952107,-0.4128180862466745,-1.0033766343082406,-1.1723026483642494,-1.159963257848816
41811.0,38055.0,0.3577748800015348,0.9255219950840504,-0.2943034924514452,2.2630478578051902,0.7699780867419693,-1.2449320149182697,1.2414814742302671
22611.0,1479.0,-0.3594965014508801,-0.3124028389659286,-0.0291012291094102,-0.1123431743313538,0.5357734815846064,-0.4939498948178707,0.7026577521516612
