sat1,sat2,collision_risk,altitude,velocity,inclination,eccentricity,raan,perigee,anomaly
56262.0,54530.0,1,-0.36121082862477444,-0.43433496154347756,-0.7085062082985257,-0.41323535982716525,-0.9895377730882647,-1.2743028214402647,-1.2568522114999725
33745.0,17764.0,1,-0.360638056860258,-0.43828507683174506,-0.7052976949248735,-0.4164538694928212,-0.9888932233876083,-0.20643982987397325,-0.3567120037916275
56616.0,12668.0,1,-0.36162156633180303,-0.4360785669005496,0.004947187597959434,-0.4091101750448729,-0.6130270763221413,-0.7511162708759009,1.143272658918287
36645.0,29772.0,1,-0.36131343158833396,-0.3938585406094911,-0.7061566312246189,-0.3342365485449803,-0.41296018740386703,-0.5121194686030561,0.06727939781618367
38577.0,23362.0,1,-0.35871478628288533,0.7920557524884255,-0.3389272783096488,1.6868550197609862,-1.0000802867041916,-0.741947281299183,1.4415613942645857
42510.0,41097.0,1,-0.36205842451222864,-0.414764508279022,-0.6584288586324157,-0.37337050587742265,2.4384496286476534,-1.0297668480009443,1.6411175078146985
40509.0,30064.0,1,-0.35914234926814753,-0.4288685455356238,-0.7089970290412372,-0.3980008670305994,-0.9985570083458924,-0.6484766125501809,-0.3410119661974819
40434.0,32360.0,1,-0.3620044319746294,-0.41623848669817276,-0.6658457054111697,-0.38721212770812435,1.6279228043827971,-0.4922863228693525,-0.4948509903226228
32096.0,29907.0,1,-0.3625308835998471,-0.4166330462886186,-0.7079426733717087,-0.39172359776403387,-0.6723334547477617,1.2951614284858006,-1.2363464399873305
36278.0,36182.0,1,-0.36146805970772944,-0.43076663033989343,-0.7072700671687331,-0.39783737699778227,-0.9712316694793118,0.6449801621496948,0.5894371439399585
61277.0,31727.0,1,-0.36081071579274515,-0.4381583977178026,-0.2353868247800176,-0.39277826876005056,0.8342847434681839,-0.9228226119178757,-0.7873636974106606
37331.0,30235.0,1,-0.36078212073319527,-0.397187284074065,0.41329186698804504,-0.36842733664989136,1.1185679610080332,-1.3051119008370378,0.6096249289798604
61098.0,60967.0,1,-0.36183662579016324,-0.4207609774170004,-0.6978990266921465,-0.3969713072487736,-0.9408854220676116,2.213892363474313,2.0911914231505655
36302.0,30678.0,1,-0.35874344001516,-0.4045123813102107,0.10096172307267616,-0.4046206105162363,1.0260806546532937,2.2820567120215034,-1.0990688483191338
